date,val
18-03-2020,9.906
18-03-2020,16.127
18-03-2020,24.5
18-03-2020,34.676
18-03-2020,27.346
18-03-2020,539.808
18-03-2020,217.619
18-03-2020,3.889
18-03-2020,4.284
18-03-2020,14.933
18-03-2020,31.051
18-03-2020,88.447
18-03-2020,13.317
18-03-2020,11.704
18-03-2020,19.59
18-03-2020,158.586
18-03-2020,117.042
18-03-2020,22.842
18-03-2020,1002.436
18-03-2020,29.554
18-03-2020,20.116
18-03-2020,368.433
19-03-2020,5.61
19-03-2020,87.351
19-03-2020,36
19-03-2020,227.912
19-03-2020,6.976
19-03-2020,86.313
19-03-2020,12.062
19-03-2020,22.161
19-03-2020,11.78
19-03-2020,9.545
19-03-2020,17.59
19-03-2020,38.28
19-03-2020,13.803
19-03-2020,26.483
19-03-2020,48.491
19-03-2020,27.541
19-03-2020,4.162
19-03-2020,38.39
19-03-2020,18.492
19-03-2020,50.836
19-03-2020,29.167
19-03-2020,14.828
19-03-2020,8.081
19-03-2020,31.167
19-03-2020,8.02
19-03-2020,5.571
19-03-2020,176.217
19-03-2020,37.84
19-03-2020,10.202
19-03-2020,14.663
19-03-2020,29.167
19-03-2020,35
19-03-2020,21.756
19-03-2020,21.847
19-03-2020,14.195
19-03-2020,472.213
19-03-2020,199.889
19-03-2020,3.719
19-03-2020,4.237
19-03-2020,15.948
19-03-2020,30.14
19-03-2020,38.67
19-03-2020,92.77
19-03-2020,17.15
19-03-2020,11.653
19-03-2020,20.033
19-03-2020,88.083
19-03-2020,146.28
19-03-2020,20.364
19-03-2020,1052.333
19-03-2020,26.089
19-03-2020,16.739
19-03-2020,299.297
20-03-2020,4.921
20-03-2020,86.748
20-03-2020,37
20-03-2020,197.944
20-03-2020,6.031
20-03-2020,81.944
20-03-2020,13.823
20-03-2020,18.626
20-03-2020,15.842
20-03-2020,10.471
20-03-2020,25.829
20-03-2020,24.253
20-03-2020,13.514
20-03-2020,31.145
20-03-2020,38.615
20-03-2020,67.888
20-03-2020,65.414
20-03-2020,19.434
20-03-2020,4.22
20-03-2020,34.771
20-03-2020,24.665
20-03-2020,52.4
20-03-2020,25.511
20-03-2020,11.981
20-03-2020,7.877
20-03-2020,31.578
20-03-2020,6.901
20-03-2020,6.386
20-03-2020,166.765
20-03-2020,39.105
20-03-2020,7.429
20-03-2020,14.127
20-03-2020,29
20-03-2020,33.284
20-03-2020,20.297
20-03-2020,19.515
20-03-2020,26.948
20-03-2020,361.929
20-03-2020,148.114
20-03-2020,5.367
20-03-2020,3.363
20-03-2020,18.186
20-03-2020,31.17
20-03-2020,41.474
20-03-2020,104.657
20-03-2020,15.68
20-03-2020,12.662
20-03-2020,16.845
20-03-2020,105.356
20-03-2020,116.289
20-03-2020,20.462
20-03-2020,770.382
20-03-2020,21.844
20-03-2020,13.318
20-03-2020,257.86
21-03-2020,5.166
21-03-2020,140.467
21-03-2020,21
21-03-2020,190.361
21-03-2020,5.437
21-03-2020,15.556
21-03-2020,83.613
21-03-2020,14.442
21-03-2020,15.467
21-03-2020,16.716
21-03-2020,14.686
21-03-2020,39.375
21-03-2020,27.476
21-03-2020,20.96
21-03-2020,14.528
21-03-2020,31.59
21-03-2020,28.264
21-03-2020,53.209
21-03-2020,51.649
21-03-2020,21.446
21-03-2020,4.225
21-03-2020,34.715
21-03-2020,22.374
21-03-2020,33.833
21-03-2020,51.587
21-03-2020,21.333
21-03-2020,9.354
21-03-2020,6.975
21-03-2020,27.875
21-03-2020,6.708
21-03-2020,5.139
21-03-2020,145.213
21-03-2020,32.252
21-03-2020,9.584
21-03-2020,10.116
21-03-2020,22.909
21-03-2020,29.882
21-03-2020,17.192
21-03-2020,23.8
21-03-2020,27.329
21-03-2020,281.952
21-03-2020,153.106
21-03-2020,6.75
21-03-2020,4.319
21-03-2020,19.626
21-03-2020,34.545
21-03-2020,35.387
21-03-2020,100.268
21-03-2020,14
21-03-2020,13.042
21-03-2020,14.066
21-03-2020,84
21-03-2020,59.254
21-03-2020,14
21-03-2020,15.658
21-03-2020,794.564
21-03-2020,19.322
21-03-2020,12.027
21-03-2020,317.4
22-03-2020,5.573
22-03-2020,124.084
22-03-2020,15.667
22-03-2020,119.509
22-03-2020,5.016
22-03-2020,19.6
22-03-2020,69.802
22-03-2020,9.817
22-03-2020,15.918
22-03-2020,14.729
22-03-2020,13.927
22-03-2020,34.125
22-03-2020,24.894
22-03-2020,19.732
22-03-2020,13.258
22-03-2020,17.5
22-03-2020,32.06
22-03-2020,21.961
22-03-2020,34.117
22-03-2020,33.357
22-03-2020,21.209
22-03-2020,4.118
22-03-2020,37.421
22-03-2020,27.079
22-03-2020,117.18
22-03-2020,43.167
22-03-2020,53.286
22-03-2020,16.115
22-03-2020,6.601
22-03-2020,6.059
22-03-2020,31.691
22-03-2020,6.782
22-03-2020,6.103
22-03-2020,7.985
22-03-2020,131.19
22-03-2020,33.928
22-03-2020,7.489
22-03-2020,10.777
22-03-2020,17.267
22-03-2020,28.049
22-03-2020,15.096
22-03-2020,20.174
22-03-2020,26.622
22-03-2020,226.04
22-03-2020,104.954
22-03-2020,7.8
22-03-2020,4.621
22-03-2020,15.306
22-03-2020,34.896
22-03-2020,36.296
22-03-2020,91.59
22-03-2020,14.209
22-03-2020,12.842
22-03-2020,11.15
22-03-2020,78.638
22-03-2020,32.455
22-03-2020,9
22-03-2020,15.75
22-03-2020,678.582
22-03-2020,16.632
22-03-2020,10.499
22-03-2020,217.667
23-03-2020,5.391
23-03-2020,108.675
23-03-2020,15.458
23-03-2020,128.571
23-03-2020,5.034
23-03-2020,13.588
23-03-2020,61.651
23-03-2020,10.144
23-03-2020,15.461
23-03-2020,14.35
23-03-2020,18.426
23-03-2020,48
23-03-2020,22.813
23-03-2020,17.579
23-03-2020,14.765
23-03-2020,14.389
23-03-2020,31.609
23-03-2020,15.669
23-03-2020,29.578
23-03-2020,29.234
23-03-2020,3.156
23-03-2020,20.983
23-03-2020,3.911
23-03-2020,38.284
23-03-2020,26.447
23-03-2020,141.647
23-03-2020,26.25
23-03-2020,56.065
23-03-2020,14.922
23-03-2020,6.825
23-03-2020,7.877
23-03-2020,26.915
23-03-2020,7.749
23-03-2020,6.839
23-03-2020,7.112
23-03-2020,96.809
23-03-2020,30.209
23-03-2020,6.284
23-03-2020,8.815
23-03-2020,23
23-03-2020,26.391
23-03-2020,14.222
23-03-2020,32.065
23-03-2020,25.571
23-03-2020,229.803
23-03-2020,90.483
23-03-2020,7.854
23-03-2020,3.789
23-03-2020,18.911
23-03-2020,38.123
23-03-2020,46.677
23-03-2020,89.484
23-03-2020,14.824
23-03-2020,12.208
23-03-2020,11.311
23-03-2020,73.566
23-03-2020,27.931
23-03-2020,11
23-03-2020,13.386
23-03-2020,883.145
23-03-2020,14.245
23-03-2020,9.089
23-03-2020,112.219
